哈尔的移动城堡,"倍赏千惠子,木村拓哉,美轮明宏",2004-09-05(意大利)
阿凡达,"萨姆·沃辛顿,佐伊·索尔达娜,米歇尔·罗德里格兹",2010/1/4
疯狂原始人,"尼古拉斯·凯奇,艾玛·斯通,瑞安·雷诺兹",2013/4/20
十二怒汉,"亨利·方达,李·科布,马丁·鲍尔萨姆",1957-04-13(美国)
搏击俱乐部,"爱德华·哈里森·诺顿,布拉德·皮特,海伦娜·伯翰·卡特",1999-09-10(意大利)
幽灵公主,"松田洋治,石田百合子,田中裕子",1998/5/1
V字仇杀队,"娜塔莉·波特曼,雨果·维文,斯蒂芬·瑞",2005-12-11(美国)
当幸福来敲门,"威尔·史密斯,贾登·史密斯,坦迪·牛顿",2008/1/17
放牛班的春天,"热拉尔·朱尼奥,让-巴蒂斯特·莫尼耶,玛丽·布奈尔",2004/10/16
末代皇帝,"尊龙,陈冲,彼得·奥图尔",1987/10/23
大话西游之月光宝盒,"周星驰,莫文蔚,吴孟达",2014/10/24
风之谷,"岛本须美,永井一郎,坂本千夏",May-92
闻香识女人,"阿尔·帕西诺,克里斯·奥唐纳,加布里埃尔·安瓦尔",1992-12-23(美国)
三傻大闹宝莱坞,"阿米尔·汗,黄渤,卡琳娜·卡普",2011/12/8
勇敢的心,"梅尔·吉布森,苏菲·玛索,帕特里克·麦高汉",1995-05-18(美国)
速度与激情5,"范·迪塞尔,保罗·沃克,道恩·强森",2011/5/12
驯龙高手,"杰伊·巴鲁切尔,杰拉德·巴特勒,亚美莉卡·费雷拉",2010/5/14
黑客帝国3：矩阵革命,"基努·里维斯,雨果·维文,凯瑞-安·莫斯",2003/11/5
飞屋环游记,"爱德华·阿斯纳,乔丹·长井,鲍勃·彼德森",2009/8/4
怦然心动,"玛德琳·卡罗尔,卡兰·麦克奥利菲,艾丹·奎因",2010-07-26(美国)
少年派的奇幻漂流,"苏拉·沙玛,伊尔凡·可汗,塔布",2012/11/22
断背山,"希斯·莱杰,杰克·吉伦哈尔,米歇尔·威廉姆斯",2005-09-02(意大利)
神偷奶爸,"史蒂夫·卡瑞尔,杰森·席格尔,拉塞尔·布兰德",2010-06-20(俄罗斯)
致命魔术,"休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩",2006-10-17(意大利)
无敌破坏王,"约翰·C·赖利,萨拉·西尔弗曼,简·林奇",2012/11/6
鬼子来了,"姜文,姜宏波,陈强",2000-05-13(法国)
美丽心灵,"罗素·克洛,詹妮弗·康纳利,艾德·哈里斯",2001-12-13(美国)
蝙蝠侠：黑暗骑士崛起,"克里斯蒂安·贝尔,迈克尔·凯恩,加里·奥德曼",2012/8/27
甜蜜蜜,"黎明,张曼玉,曾志伟",2015/2/13
哈利·波特与死亡圣器（下）,"丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃特森",2011/8/4
倩女幽魂,"张国荣,王祖贤,午马",2011/4/30
本杰明·巴顿奇事,"布拉德·皮特,凯特·布兰切特,塔拉吉·P·汉森",2008-12-25(美国)
钢琴家,"艾德里安·布洛迪,艾米莉娅·福克斯,米哈乌·热布罗夫斯基",2002-05-24(法国)
触不可及,"弗朗索瓦·克鲁塞,奥玛·希,安娜·勒尼",2011-11-02(法国)
新龙门客栈,"张曼玉,梁家辉,甄子丹",2012/2/24
大话西游之大圣娶亲,"周星驰,朱茵,莫文蔚",2014/10/24
初恋这件小事,"马里奥·毛瑞尔,平采娜·乐维瑟派布恩,阿查拉那·阿瑞亚卫考",2012/6/5
熔炉,"孔刘,郑有美,金智英",2011-09-22(韩国)
小鞋子,"默罕默德·阿米尔·纳吉,Kamal Mirkarimi,Behzad Rafi",1997(伊朗)
素媛,"李来,薛耿求,严志媛",2013-10-02(韩国)
萤火之森,"内山昂辉,佐仓绫音,后藤弘树",2011-09-17(日本)
教父,"马龙·白兰度,阿尔·帕西诺,詹姆斯·肯恩",2015/4/18
穿条纹睡衣的男孩,"阿沙·巴特菲尔德,维拉·法梅加,大卫·休里斯",2008-08-28(英国)
窃听风暴,"乌尔里希·穆埃,塞巴斯蒂安·科赫,马蒂娜·格德克",2006-03-23(德国)
7号房的礼物,"柳承龙,郑镇荣,朴信惠",2013-01-23(韩国)
时空恋旅人,"瑞秋·麦克亚当斯,多姆纳尔·格里森,比尔·奈伊",2013-09-04(英国)
借东西的小人阿莉埃蒂,"志田未来,神木隆之介,大竹忍",2010-07-17(日本)
恐怖直播,"河正宇,李璟荣,李大为",2013-07-31(韩国)
英雄本色,"狄龙,张国荣,周润发",2017/11/17
海豚湾,"里克·奥巴瑞,路易·西霍尤斯,哈迪·琼斯",2009-07-31(美国)
忠犬八公物语,"仲代达矢,春川真澄,井川比佐志",1987-08-01(日本)
辩护人,"宋康昊,郭度沅,吴达洙",2013-12-18(韩国)
完美的世界,"凯文·科斯特纳,克林特·伊斯特伍德,T·J·劳瑟",1993-11-24(美国)
上帝之城,"亚历桑德雷·罗德里格斯,艾莉丝·布拉加,莱安德鲁·菲尔米诺",2002(俄罗斯)
美国往事,"罗伯特·德尼罗,詹姆斯·伍兹,伊丽莎白·麦戈文",2015/4/23
七武士,"三船敏郎,志村乔,千秋实",1954-04-26(日本)
一一,"吴念真,金燕玲,李凯莉",2000-05-15(法国)
龙猫,"秦岚,糸井重里,岛本须美",2018/12/14
爱·回家,"俞承豪,金艺芬,童孝熙",2002-04-05(韩国)
阿飞正传,"张国荣,张曼玉,刘德华",2018/6/25
我爱你,"宋在浩,李顺才,尹秀晶",2011-02-17(韩国)
海洋,"雅克·贝汉,姜文,兰斯洛特·佩林",2011/8/12
黄金三镖客,"克林特·伊斯特伍德,李·范·克里夫,埃里·瓦拉赫",1966-12-23(意大利)
迁徙的鸟,"雅克·贝汉,Philippe Labro",2001-12-12(法国)
千与千寻,"柊瑠美,周冬雨,入野自由",2019/6/21
海上钢琴师,"蒂姆·罗斯,比尔·努恩,克兰伦斯·威廉姆斯三世",2019/11/15
美丽人生,"罗伯托·贝尼尼,尼可莱塔·布拉斯基,乔治·坎塔里尼",2020/1/3
